micro_topic_id,macro_topic_id,micro_topic_size,macro_topic_size,macro_label_if_available,top_keywords_if_available,representative_speech_id,cumulative_mass
1,15,52,52,Macro-Topic 15,නිවන් සුව; මැතිතුමාගේ අභාවය; චන්ද්‍ර සිරි; වි මු; මු බණ්ඩාර; අභාවය ශෝකය; කේ පී; එල්ලාවල,SP_07318,0.51060798
200,10,70,70,Macro-Topic 24,සෙස්; සුරා බදු; සුරාබදු; සුරා; මැණික්; මත්පැන්; ස්වර්ණාභරණ; මැණික් ස්වර්ණාභරණ,SP_00222,0.40674478
213,6,62,229,Macro-Topic 6,රජයේ ගිණුම්; වත්කම් බැරකම්; බැරකම්; පෙත්සම්; කාර්ය සාධන; බැඳුම්කර වංචාව; පඩි වැඩි; බැඳුම්කර,SP_00025,0.45234326
215,6,115,229,Macro-Topic 6,රජයේ ගිණුම්; වත්කම් බැරකම්; බැරකම්; පෙත්සම්; කාර්ය සාධන; බැඳුම්කර වංචාව; පඩි වැඩි; බැඳුම්කර,SP_00020,0.24295440
216,6,52,229,Macro-Topic 6,රජයේ ගිණුම්; වත්කම් බැරකම්; බැරකම්; පෙත්සම්; කාර්ය සාධන; බැඳුම්කර වංචාව; පඩි වැඩි; බැඳුම්කර,SP_01515,0.51884104
220,8,83,234,Macro-Topic 8,දෙවන ආණ්ඩුක්‍රම; විසි දෙවන; රාජාසන; පාක්ෂික ආණ්ඩුවක්; ව්‍යවස්ථා සංශෝධනයේ; ජනාධිපති ක්‍රමය; විධායක ජනාධිපති; හදිසි නීතිය,SP_00129,0.36565864
224,14,64,153,Macro-Topic 13,peace; majority; sovereignty; clean sri; executive; laws; persons; students,SP_00193,0.43271058
232,14,89,153,Macro-Topic 13,peace; majority; sovereignty; clean sri; executive; laws; persons; students,SP_00469,0.33882204
234,27,50,50,Macro-Topic 12,උපයෝගිතා; මහජන උපයෝගිතා; ලංකා විදුලිබල; විදුලිබල; පනත්; පනත් කෙටුම්පත; මාධ්‍ය; කෙටුම්පත,SP_00717,0.52683661
245,13,99,99,Macro-Topic 26,මහාධිකරණ; අපරාධ නඩු; රස; බන්ධනාගාරගත; අර්ජුන; ඇබ්බැහි; මහේන්ද්‍රන්; data,SP_00568,0.30976884
254,17,66,385,Macro-Topic 17,රංජිත් සොයිසා; සහරාන්; අන්තවාදය; පාස්කු ප්‍රහාරයට; කොමිෂන් වාර්තාවේ; කතෝලික; ඉරිදා ප්‍රහාරය; සොයිසා,SP_00802,0.42257758
255,17,319,385,Macro-Topic 17,රංජිත් සොයිසා; සහරාන්; අන්තවාදය; පාස්කු ප්‍රහාරයට; කොමිෂන් වාර්තාවේ; කතෝලික; ඉරිදා ප්‍රහාරය; සොයිසා,SP_04426,0.08731792
268,8,76,234,Macro-Topic 8,දෙවන ආණ්ඩුක්‍රම; විසි දෙවන; රාජාසන; පාක්ෂික ආණ්ඩුවක්; ව්‍යවස්ථා සංශෝධනයේ; ජනාධිපති ක්‍රමය; විධායක ජනාධිපති; හදිසි නීතිය,SP_01436,0.37167511
277,3,94,237,Macro-Topic 4,කිලෝවක් රුපියල්; සෙස්; ගම්මිරිස්; තේ කර්මාන්තය; කුඩා තේ; කිලෝව රුපියල්; කිලෝග්‍රෑම්; තේ වතු,SP_00686,0.32465168
280,4,76,211,Macro-Topic 9,රාමනායක; රන්ජන් රාමනායක; රන්ජන්; සංග්‍රහය; ආචාර ධර්ම; මනුෂ; මිරිස්; ආචාර,SP_00042,0.37769158
284,4,76,211,Macro-Topic 9,රාමනායක; රන්ජන් රාමනායක; රන්ජන්; සංග්‍රහය; ආචාර ධර්ම; මනුෂ; මිරිස්; ආචාර,SP_01414,0.38370804
286,1,55,667,Macro-Topic 1,මෙගාවොට්; තෙල් ටැංකි; වැය පරතරය; සූර්ය; lng; පුනර්ජනනීය; බලාගාර; ණය ප්‍රමාණය,SP_00479,0.49802090
288,4,59,211,Macro-Topic 9,රාමනායක; රන්ජන් රාමනායක; රන්ජන්; සංග්‍රහය; ආචාර ධර්ම; මනුෂ; මිරිස්; ආචාර,SP_04672,0.47118429
290,1,51,667,Macro-Topic 1,මෙගාවොට්; තෙල් ටැංකි; වැය පරතරය; සූර්ය; lng; පුනර්ජනනීය; බලාගාර; ණය ප්‍රමාණය,SP_00210,0.52287840
291,0,57,218,Macro-Topic 0,ජනතා නිදහස්; එක්සත් ජනතා; විශ්වාසභංග; විශ්වාස භංග; භංග; වාචික පිළිතුරු; ව්‍යවස්ථාදායක; භංග යෝජනාවක්,SP_01760,0.48931286
303,0,109,218,Macro-Topic 0,ජනතා නිදහස්; එක්සත් ජනතා; විශ්වාසභංග; විශ්වාස භංග; භංග; වාචික පිළිතුරු; ව්‍යවස්ථාදායක; භංග යෝජනාවක්,SP_01499,0.26052882
308,3,88,237,Macro-Topic 4,කිලෝවක් රුපියල්; සෙස්; ගම්මිරිස්; තේ කර්මාන්තය; කුඩා තේ; කිලෝව රුපියල්; කිලෝග්‍රෑම්; තේ වතු,SP_00083,0.34578847
317,1,100,667,Macro-Topic 1,මෙගාවොට්; තෙල් ටැංකි; වැය පරතරය; සූර්ය; lng; පුනර්ජනනීය; බලාගාර; ණය ප්‍රමාණය,SP_02438,0.30193160
323,1,152,667,Macro-Topic 1,මෙගාවොට්; තෙල් ටැංකි; වැය පරතරය; සූර්ය; lng; පුනර්ජනනීය; බලාගාර; ණය ප්‍රමාණය,SP_00313,0.22435085
333,8,75,234,Macro-Topic 8,දෙවන ආණ්ඩුක්‍රම; විසි දෙවන; රාජාසන; පාක්ෂික ආණ්ඩුවක්; ව්‍යවස්ථා සංශෝධනයේ; ජනාධිපති ක්‍රමය; විධායක ජනාධිපති; හදිසි නීතිය,SP_00860,0.38964535
