macro_topic_id,macro_topic,speech_count,top_keywords_tfidf
1,Macro-Topic 1,1395,මෙගාවොට්; තෙල් ටැංකි; වැය පරතරය; සූර්ය; lng; පුනර්ජනනීය; බලාගාර; ණය ප්‍රමාණය; ආර්ථික වර්ධන; විදුලිබල මණ්ඩලයේ
23,Macro-Topic 23,389,සීමා නිර්ණය; මැතිවරණය පවත්වන්න; මැතිවරණ කොමිෂන්; පළාත් මැතිවරණය; ඡන්ද අයිතිය; මැතිවරණ ක්‍රමය; මැතිවරණ කොමිසම; නාම යෝජනා; පාලන මැතිවරණය; නිර්ණය
18,Macro-Topic 18,370,රිය; ලංකා ගමනාගමන; රු මිලියන; බස් රථ; ධාවනය; ගමනාගමන; රු; දුම්රිය; චිත්‍රපට; ජපන්
9,Macro-Topic 9,360,රාමනායක; රන්ජන් රාමනායක; රන්ජන්; සංග්‍රහය; ආචාර ධර්ම; මනුෂ; මිරිස්; ආචාර; ධර්ම; වරප්‍රසාද
3,Macro-Topic 3,340,ශ්‍රීලන්කන් ගුවන්; වරාය නගරය; පර්යන්තය; ශ්‍රීලන්කන්; හම්බන්තොට වරාය; ටෙලිකොම්; මත්තල; සිවිල් ගුවන්; මත්තල ගුවන්; ගුවන් යානා
13,Macro-Topic 13,317,peace; majority; sovereignty; clean sri; executive; laws; persons; students; taking; happened
29,Macro-Topic 29,286,පුරාවිද්‍යා; කසළ; ත්‍රිපෝෂ; මන්දපෝෂණය; දහම්; කුණු; ළමා; කාන්තාවන්ට; කන්ද; සවිබල
25,Macro-Topic 25,240,ක්‍රිකට් ආයතනය; ක්‍රිකට් ආයතනයේ; ලංකා ක්‍රිකට්; ක්‍රීඩාවේ; ක්‍රීඩකයන්; icc; ක්‍රීඩාවට; cricket; ක්‍රිකට්; ක්‍රීඩාව
19,Macro-Topic 19,234,විදේශ සේවා; නියුක්ති; සේවා නියුක්ති; ශ්‍රමිකයන්; විදේශ රැකියා; පලස්තීන; සංචාරක; සංචාරක ව්‍යාපාරය; විදේශගත; ඊශ්‍රායලය
10,Macro-Topic 10,227,ශම්; සමුපකාර ව්‍යාපාරය; ක්ෂුද්‍ර මූල්‍ය; සමුපකාර සමිති; කම්; ඍණ; සමුපකාර; ක්ෂුද්‍ර; වැය පරතරය; තැන්පතු
20,Macro-Topic 20,189,පලස්තීන; ඊශ්‍රායලය; sovereignty; ත්‍රස්තවාදය වැළැක්වීමේ; ත්‍රස්තවාදය; peace; රණ; ජිනීවා; මානව හිමිකම්; රාජ්‍යය
16,Macro-Topic 16,184,අමරකීර්ති අතුකෝරළ; අතුකෝරළ; අමරකීර්ති; family; නිවන් සුව; commonwealth; late; royal; විශ්වාස භංග; නිවන්
28,Macro-Topic 28,155,කම්කරුවන්ට; වතු සමාගම්; වැටුප රුපියල්; වතු කම්කරු; කුඩා තේ; වතුකරයේ; වතුකරයේ ජනතාව; වතු හිමියන්; වතු; තොණ්ඩමන්
24,Macro-Topic 24,148,සෙස්; සුරා බදු; සුරාබදු; සුරා; මැණික්; මත්පැන්; ස්වර්ණාභරණ; මැණික් ස්වර්ණාභරණ; පතල්; vat
27,Macro-Topic 27,133,බහුදින; ධීවරයන්ට; ධීවර වරාය; යාත්‍රා; මත්ස්‍ය; ධීවර කර්මාන්තය; ධීවර; භූමිතෙල්; බෝට්ටු; ඉන්ධන මිල
22,Macro-Topic 22,114,සයිටම්; ආරක්ෂක විශ්ව; රජයේ වෛද්‍ය; saitm; කොතලාවල; ශික්ෂණ; නෙවිල් ප්‍රනාන්දු; නෙවිල්; උපාධි; රෝහලක්
21,Macro-Topic 21,90,දියර කිරි; කිරි පිටි; දියර; හරක්; කිරිපිටි; ආනයනික; පිටි; ස්වයංපෝෂිත; පශු; ලීටර්
12,Macro-Topic 12,89,උපයෝගිතා; මහජන උපයෝගිතා; ලංකා විදුලිබල; විදුලිබල; පනත්; පනත් කෙටුම්පත; මාධ්‍ය; කෙටුම්පත; ජනමාධ්‍ය; රූපවාහිනී
